title,type,paper,code,benchmark
Randomized Exploration in Cooperative Multi-Agent Reinforcement Learning,MARL,https://arxiv.org/abs/2404.10728,,N-chain， Super Mario Bros，Thermal Control of Building Energy Systems
Cooperate or Collapse: Emergence of Sustainability in a Society of LLM Agents,multi-agent sim,https://arxiv.org/abs/2404.16698,https://github.com/giorgiopiatti/govsim,GOVSIM
Mobile-Agent-v2: Mobile Device Operation Assistant with Effective Navigation via Multi-Agent Collaboration,multi-agent collaboration,https://arxiv.org/abs/2406.01014,https://github.com/x-plug/mobileagent,none
Autonomous Agent for Collaborative Task under Information Asymmetry,"multi-agent collaboration, multi-agent sim",https://arxiv.org/abs/2406.14928,https://github.com/thinkwee/iAgents,InformativeBench(self)
MAGIS: LLM-Based Multi-Agent Framework for GitHub Issue Resolution,multi-agent collaboration,https://arxiv.org/abs/2403.17927,,SWE-bench dataset
Chain of Agents: Large Language Models Collaborating on Long-Context Tasks,multi-agent collaboration,https://arxiv.org/abs/2406.02818,,HotpotQA、MuSiQue、NarrativeQA、Qasper、QuALITY、QMSum、GovReport、BookSum、. RepoBench-P
FinCon: A Synthesized LLM Multi-Agent System with Conceptual Verbal Reinforcement for Enhanced Financial Decision Making,multi-agent collaboration,https://arxiv.org/abs/2407.06567,,self（a market environment representation using real-world financial data）
Star-Agents: Automatic Data Optimization with LLM Agents for Instruction Tuning,multi-agent collaboration,https://openreview.net/forum?id=jXsxGt80sv&referrer=%5Bthe%20profile%20of%20Haochen%20Qin%5D(%2Fprofile%3Fid%3D~Haochen_Qin1),,Supervised Fine-Tuning (SFT)
Language Grounded Multi-Agent Communication for Ad-hoc Teamwork,MARL,https://arxiv.org/abs/2409.17348,,Predator Prey、 Urban Search & Rescue (USAR)
Evaluating Creativity and Deception in Large Language Models: A Simulation Framework for Multi-Agent Balderdash,llm evaluation,https://arxiv.org/abs/2411.10422,https://github.com/ParsaHejabi/Simulation-Framework-for-Multi-Agent-Balderdash,
A Dynamic LLM-Powered Agent Network for Task-Oriented Agent Collaboration,multi-agent collaboration,https://arxiv.org/abs/2310.02170,https://github.com/SALT-NLP/DyLAN,MMLU
A Layered Architecture for Developing and Enhancing Capabilities in Large Language Model-based Software Systems,multi-agent collaboration,https://arxiv.org/abs/2411.12357,none,
Plurals: A System for Guiding LLMs Via Simulated Social Ensembles,multi-agent sim,https://arxiv.org/abs/2409.17213,https://github.com/josh-ashkinaze/plurals,
Scalable and Accurate Graph Reasoning with LLM-based Multi-Agents,multi-agent collaboration,https://arxiv.org/abs/2410.05130,none,GraphInstruct
Towards Efficient LLM Grounding for Embodied Multi-Agent Collaboration,"multi-agent collaboration, communication optimization",https://arxiv.org/abs/2405.14314,https://read-llm.github.io/,RoCoBench，Overcooked-AI
BlockAgents: Towards Byzantine-Robust LLM-Based Multi-Agent Coordination via Blockchain,multi-agent collaboration,https://dl.acm.org/doi/abs/10.1145/3674399.3674445,none,
WiS Platform: Enhancing Evaluation of LLM-Based Multi-Agent Systems Through Game-Based Analysis,evaluation on MGAS,https://arxiv.org/abs/2412.03359,https://whoisspy.ai/,
XAgents: A Framework for Interpretable Rule-Based Multi-Agents Cooperation,multi-agent collaboration,https://arxiv.org/abs/2411.13932,none,
Cut the Crap: An Economical Communication Pipeline for LLM-based Multi-Agent Systems,"multi-agent collaboration, communication optimization",https://arxiv.org/abs/2410.02506,https://github.com/yanweiyue/AgentPrune,
YOLO-MARL: You Only LLM Once for Multi-agent Reinforcement Learning,"multi-agent collaboration, communication optimization",https://arxiv.org/abs/2410.03997,none,
BudgetMLAgent: A Cost-Effective LLM Multi-Agent system for Automating Machine Learning Tasks,multi-agent collaboration,https://arxiv.org/abs/2411.07464,none,MLAgentBench
Can We Trust AI Agents? An Experimental Study Towards Trustworthy LLM-Based Multi-Agent Systems for AI Ethics,multi-agent collaboration,https://arxiv.org/abs/2411.08881,none,
